id,char,unicode,n_points,n_strokes,stroke
921,燮,71EE,72,10,"72,-64,0,-8,-11,1,-11,-4,-3,-8,-10,-64,0,-3,-4,-4,6,-64,0,-9,-2,-4,3,1,-2,-64,0,-9,4,-9,11,1,11,0,3,-64,0,-9,6,0,6,-64,0,1,-7,3,-2,-64,0,3,-5,7,-8,7,-3,4,0,4,0,-64,0,4,0,6,2,7,5,6,9,2,14,-64,-64,,,,,,"
922,心,5FC3,70,13,"70,-64,0,-6,-10,-3,-10,-64,0,-8,-7,-1,-7,-64,0,-7,-7,-4,0,-64,0,-3,-7,-4,-1,-64,0,-8,-2,-4,1,-64,0,-1,-2,-4,1,-64,0,-4,-1,-4,13,-64,0,-4,5,-8,10,-64,0,-4,5,-1,9,-64,0,-1,-4,4,-8,-64,0,4,-8,5,-2,3,12,-64,-64,,,,,,"
923,辛,8F9B,66,9,"66,-64,0,-3,-11,-5,-6,1,-7,-64,0,-4,-7,5,-14,4,-10,2,-7,2,-4,0,1,-64,0,-8,4,-8,10,-6,14,1,15,6,13,7,10,7,3,-64,0,-1,4,-3,9,-7,11,-64,0,-8,5,-3,9,-64,0,-1,7,5,11,-64,0,2,8,6,5,-64,-64,,,,,,"
924,昕,6615,92,12,"92,-64,0,-1,-11,0,4,-64,0,-8,-8,-1,-2,-64,0,7,-9,-1,-3,-64,0,-4,4,3,4,-64,0,-7,-3,-7,2,-3,2,-3,-2,-7,-3,-64,0,2,-2,2,2,6,2,6,-1,2,-2,-64,0,6,5,5,9,8,9,8,5,6,5,-64,0,-3,9,-2,13,3,13,3,9,-3,9,-64,0,-9,6,-5,6,-5,9,-5,9,-64,0,-9,6,-9,9,-5,9,-64,-64,,,,,,"
925,訢,8A22,98,18,"98,-64,0,-3,-14,-3,-7,-64,0,4,-14,4,-7,-64,0,-3,-14,4,-14,-64,0,-3,-7,4,-7,-64,0,-3,7,-3,13,-64,0,3,7,3,13,-64,0,-3,7,3,7,-64,0,-3,13,3,13,-64,0,-3,-4,-3,3,-64,0,-8,-4,-8,3,-64,0,-8,-4,-3,-4,-64,0,-8,3,-3,3,-64,0,3,-4,3,3,-64,0,9,-4,9,3,-64,0,3,-4,9,-4,-64,0,3,3,9,3,-64,-64,,,,,,"
926,新,65B0,100,16,"100,-64,0,-3,-8,-3,7,-64,0,4,-8,4,7,-64,0,-3,-4,4,-4,-64,0,-3,0,4,0,-64,0,-3,3,4,3,-64,0,-8,-15,-8,-4,-3,-4,-64,0,-3,-12,-8,-9,-3,-6,-64,0,9,-15,9,-8,4,-1,-64,0,5,-10,9,-8,-64,0,9,-8,4,-6,-64,0,-6,4,-8,8,-4,11,-64,0,-4,5,-7,10,-9,17,-64,0,4,2,7,7,2,11,-64,0,4,6,7,10,7,18,-64,-64,,,,,,"
927,薪jin,,42,8,"42,-64,0,-3,-12,-3,-3,-10,-3,-64,0,-3,3,-3,12,-64,0,-9,4,-3,3,-64,0,3,-11,3,-2,9,-2,-64,0,3,13,3,3,-64,0,3,3,9,3,-64,-64,,,,,,"
928,炘,7098,36,6,"36,-64,0,-1,-14,-1,4,-64,0,-6,-14,-1,-7,5,-15,-64,0,-6,1,-1,-6,5,0,-64,0,-4,4,-4,9,5,9,5,3,-4,4,-64,-64,,,,,,"
929,星,661F,70,10,"70,-64,0,-5,-9,-5,8,-64,0,-11,8,-1,8,-64,0,-10,-7,-5,-2,-64,0,-2,-6,-5,-2,-64,0,2,-11,3,-3,6,7,-1,12,1,15,6,11,5,18,-64,0,0,-3,6,-6,6,-6,-64,0,6,-6,7,-3,1,1,-1,3,-2,6,-64,0,0,-3,1,1,1,7,-64,-64,,,,,,"
930,骍xiang,,56,9,"56,-64,0,0,-16,0,-13,-5,-10,-64,0,0,-14,5,-11,-64,0,0,-13,0,-7,-4,-1,0,8,0,16,-64,0,0,-7,4,0,0,7,0,7,-64,0,-7,-2,7,2,-64,0,-3,10,0,13,-64,0,4,8,0,12,-64,-64,,,,,,"
931,興,8208,40,6,"40,-64,0,-2,-13,-2,-7,5,-7,4,-14,-64,0,-2,-10,4,-11,-64,0,2,-6,3,3,-2,6,-2,10,4,5,6,15,-64,0,2,-4,0,0,0,5,-64,-64,,,,,,"
932,行,884C,48,7,"48,-64,0,-4,-15,3,-8,-64,0,3,-13,-4,-8,-64,0,-5,-15,-5,-8,-2,-4,2,-4,4,-9,4,-15,-64,0,0,-3,2,6,-5,8,-6,12,2,10,-1,17,-64,0,0,-2,-3,7,-64,-64,,,,,,"
933,杏,674F,48,9,"48,-64,0,2,-7,2,3,-64,0,7,-11,7,7,3,12,3,12,-64,0,2,-1,7,-5,-64,0,-4,-13,-2,-7,-64,0,-2,-7,-6,3,-64,0,-6,3,-2,11,-64,0,-4,-1,-1,5,-64,-64,,,,,,"
934,姓,59D3,132,18,"132,-64,0,-10,6,-9,2,-8,-1,-5,-1,-4,2,-6,4,-7,7,-7,8,-64,0,-10,2,-6,4,-64,0,-6,-12,-7,-9,-6,-5,-3,-2,-64,0,-5,-10,-7,-9,-64,0,-4,-8,-6,-6,-64,0,-2,-14,-3,-11,0,-4,-64,0,0,-12,-3,-11,-64,0,1,-11,-2,-9,-64,0,-4,-1,1,-4,10,0,-64,0,-3,-1,-2,3,-1,7,-3,11,-1,14,-64,0,-3,10,0,11,-64,0,-1,7,-1,9,-64,0,6,-2,6,2,7,3,5,8,-64,0,2,7,3,11,-64,0,2,9,5,8,7,9,2,12,-64,0,8,-2,10,-3,-64,-64,,,,,,"
935,幸,5E78,46,8,"46,-64,0,5,-16,6,12,-64,0,1,-13,5,-6,5,-6,-64,0,5,-7,9,-14,-64,0,0,8,6,1,10,8,-64,0,-1,-16,-4,-3,-64,0,-2,-11,2,-3,-1,1,-3,10,-64,-64,,,,,,"
936,兄,5144,60,9,"60,-64,0,-5,-10,-1,-5,3,-13,-64,0,-1,-5,-1,8,-64,0,-5,-2,-1,4,2,-2,-64,0,-6,-5,-8,-3,-10,-7,-6,-10,-64,0,3,-12,8,-8,5,-4,2,-6,-64,0,5,0,7,4,2,10,-64,0,1,3,5,7,7,16,-64,-64,,,,,,"
937,兇,5147,44,6,"44,-64,0,7,-4,0,-4,-4,-4,-8,-7,-11,-4,-9,1,-8,2,-5,1,-1,-1,6,0,6,-4,-64,0,-1,-12,4,-13,-64,0,2,-12,3,11,-64,0,-1,12,6,12,-64,-64,,,,,,"
938,匈xiong,,52,8,"52,-64,0,-7,-15,-7,-9,-4,-6,4,-7,3,-16,-64,0,-8,-12,4,-13,-64,0,-3,-6,-3,-1,-5,3,-4,6,-2,11,-1,16,-64,0,-3,-4,2,2,-64,0,1,-7,3,-2,-64,0,4,-7,6,-4,-64,-64,,,,,,"
939,熊,718A,50,9,"50,-64,0,5,-18,2,-8,2,-9,-64,0,5,-19,12,-8,-64,0,4,-11,9,-11,-64,0,6,-11,6,4,-64,0,0,-13,-3,-5,4,2,-64,0,4,-8,7,-5,9,-8,-64,0,2,-4,-2,7,-64,-64,,,,,,"
940,休,4F11,92,10,"92,-64,0,-2,-15,-4,-9,-2,-7,0,-5,1,-2,0,1,-3,1,-3,-5,-1,-6,1,-8,2,-11,1,-13,-2,-15,-64,0,-1,2,-4,4,-6,6,-7,10,-5,12,-2,14,2,14,5,12,6,7,5,5,2,2,-1,2,-64,0,-1,2,0,13,-64,0,-7,8,5,7,-64,0,-3,5,-3,5,-64,0,-3,9,-3,9,-64,0,2,5,2,5,-64,0,2,9,2,9,-64,-64,,,,,,"
941,羞,7F9E,54,10,"54,-64,0,7,-11,-6,-10,-7,-4,-64,0,-1,-10,-2,-4,-64,0,-2,-4,2,-4,1,-10,-64,0,-2,-8,-7,-6,-64,0,6,-10,3,-7,-64,0,0,-6,0,12,-64,0,3,2,1,13,-64,0,0,5,6,15,-64,-64,,,,,,"
942,戌,620C,44,8,"44,-64,0,-6,-8,-4,-14,-1,-9,6,-15,8,-10,-64,0,1,-16,0,12,-64,0,0,-2,-5,6,-64,0,1,-2,5,4,-64,0,0,4,-5,9,-64,0,0,4,6,9,-64,-64,,,,,,"
943,須,9808,86,14,"86,-64,0,-4,-11,0,-8,0,-8,-64,0,3,-12,0,-8,-64,0,-5,-7,4,-7,-64,0,-5,-7,-6,0,-64,0,5,-7,6,-2,-64,0,-5,-5,6,-4,-64,0,0,-7,0,3,-64,0,-2,4,-6,8,1,17,6,7,2,4,2,4,-64,0,2,4,1,7,1,7,-64,0,-2,4,-2,7,-64,0,-2,12,-1,9,-64,0,4,11,1,9,-64,-64,,,,,,"
944,叙,53D9,60,9,"60,-64,0,5,-11,6,-3,2,1,2,1,-64,0,-2,-10,-1,-2,2,1,2,1,-64,0,1,0,-1,5,-1,5,-64,0,3,0,5,4,-64,0,-3,6,7,4,-64,0,8,-14,9,-8,14,1,9,6,9,13,-64,0,11,-5,8,2,-64,-64,,,,,,"
945,洫xu,,40,7,"40,-64,0,0,-10,-8,-4,-8,9,-64,0,0,-10,7,-4,7,10,-64,0,-3,-1,3,-1,-64,0,-3,4,1,4,-64,0,3,-1,3,7,-3,7,-4,4,-64,-64,,,,,,"
946,殈xu,,100,13,"100,-64,0,5,-1,3,0,3,3,5,5,7,3,9,0,5,-1,-64,0,5,1,6,1,-64,0,-3,-11,-5,-7,-64,0,-4,-5,-7,-1,-64,0,0,-11,0,2,-64,0,0,-12,3,-10,7,-11,12,-8,-64,0,0,-6,3,-8,-64,0,5,10,11,5,-64,0,-4,-5,-3,-2,-3,0,-5,2,-6,3,-6,3,-64,0,7,6,8,7,9,9,9,12,7,15,-64,0,4,8,5,11,7,15,7,15,-64,-64,,,,,,"
947,畜,755C,94,16,"94,-64,0,1,-20,-2,-16,-64,0,-2,-19,2,-15,-64,0,2,-13,-2,-9,-64,0,-2,-14,2,-8,-64,0,-6,-19,-6,-11,-4,-9,-64,0,-5,-17,-3,-16,-64,0,-6,-14,-3,-12,-64,0,5,-21,5,-11,3,-8,-64,0,4,-18,2,-17,-64,0,5,-14,2,-12,-64,0,-1,-7,-1,-2,-6,0,-64,0,0,-7,3,-1,8,-1,-64,0,-3,-1,-3,5,-64,0,4,0,4,7,-64,-64,,,,,,"
948,續,7E8C,60,9,"60,-64,0,5,-7,3,-3,5,0,7,-3,5,-7,5,-7,-64,0,-1,-11,-1,-1,5,4,11,0,11,-11,-64,0,3,2,1,8,-64,0,8,2,10,7,-64,0,-2,8,6,9,13,6,-64,0,3,-9,-1,-5,-64,0,7,-9,11,-5,-64,-64,,,,,,"
949,宣,5BA3,60,10,"60,-64,0,-8,-10,-7,-1,-2,2,4,-2,3,-9,-64,0,-8,-7,-4,-4,-64,0,-1,-11,-4,-2,-64,0,-2,-11,0,-1,-64,0,0,-5,3,-8,-64,0,6,-13,6,12,-64,0,4,13,8,14,-64,0,7,-13,10,-11,12,-4,6,1,-64,-64,,,,,,"
950,旋,65CB,26,4,"26,-64,0,-3,-16,12,-14,-64,0,2,-19,10,-1,3,10,-5,4,-5,0,-3,-6,2,-4,0,3,-64,-64,,,,,,"
951,辥e,,78,12,"78,-64,0,0,-12,-5,-8,-6,0,-10,0,-64,0,-6,-1,-4,3,-3,9,2,12,-64,0,0,4,-2,11,-1,17,-64,0,0,-16,-3,-10,-1,-6,-64,0,2,-10,2,8,-64,0,2,-10,8,-10,-64,0,8,-10,8,8,-64,0,1,8,8,8,-64,0,2,-5,5,-2,8,-6,-64,0,2,0,5,3,8,0,-64,-64,,,,,,"
952,學,5B78,92,14,"92,-64,0,-2,-10,-2,15,-64,0,-6,-11,-6,-4,-2,-2,-64,0,-3,-8,-7,-4,-7,1,-10,2,-64,0,-10,2,-6,4,-6,10,-6,12,-4,16,-64,0,-6,9,-3,11,-64,0,-10,-1,-9,6,-64,0,1,-8,9,-9,-64,0,2,-7,4,-2,7,-8,-64,0,0,-2,8,-2,-64,0,4,-1,4,3,-64,0,1,1,1,8,6,8,8,1,-64,0,1,3,6,3,-64,-64,,,,,,"
953,雪yu,,42,6,"42,-64,0,3,-16,3,-10,0,-5,6,1,6,12,-64,0,-5,-7,2,3,-1,6,-5,6,-7,3,-5,-1,-2,2,-64,0,-1,-10,-5,-3,-64,0,3,-10,8,-6,-64,-64,,,,,,"
954,血,8840,70,9,"70,-64,0,-4,-16,2,-7,2,-7,-64,0,2,-7,-7,0,-1,5,-6,14,-64,0,2,-7,-6,-9,1,-16,2,-1,-64,0,2,-7,5,-6,-64,0,-12,-9,-12,-4,-9,-3,-6,-4,-7,-9,-64,0,-12,-8,-7,-8,-64,0,7,-11,5,-5,8,1,6,5,4,0,9,-6,6,-9,-64,-64,,,,,,"
955,烕,70D5,50,7,"50,-64,0,-6,-12,3,-12,-64,0,-5,-11,-5,-6,-3,-2,-2,4,-2,7,-64,0,3,-12,4,-5,2,-2,0,9,-64,0,-9,12,-2,10,1,8,1,11,0,12,-7,15,-64,0,-7,7,-4,12,-64,-64,,,,,,"
956,旬,65EC,66,12,"66,-64,0,-5,-9,4,-10,-64,0,-3,-9,-2,-2,-64,0,-2,-2,-7,-2,-64,0,2,-10,2,-3,-64,0,2,-3,8,-3,-64,0,-7,1,-3,1,-3,8,-64,0,7,2,2,2,2,8,-64,0,-8,-4,-7,3,-64,0,8,-4,8,3,-64,0,-6,9,6,9,-64,-64,,,,,,"
957,尋,5C0B,72,7,"72,-64,0,3,-14,3,-1,5,6,-2,9,-1,13,7,8,8,12,5,15,-64,0,3,-8,6,-7,5,-4,-4,3,-64,0,2,-8,-1,-5,0,3,-64,0,-9,-4,-9,-9,-6,-9,-6,-4,-4,-3,-4,1,-6,1,-6,5,-9,5,-9,1,-12,1,-12,-2,-11,-3,-64,0,-9,-4,-11,-3,-64,-64,,,,,,"
958,侚,4F9A,40,7,"40,-64,0,1,-15,1,2,5,2,5,-10,-64,0,1,-6,7,-7,7,-14,-64,0,-3,-15,-3,-6,-7,-1,-64,0,-2,-2,-7,4,-64,0,-3,-1,-3,10,-64,-64,,,,,,"
959,訊,8A0A,48,8,"48,-64,0,-8,-11,7,-11,-64,0,-3,-11,0,-5,3,-11,-64,0,0,-5,0,9,-64,0,-5,-5,0,0,4,-5,-64,0,-8,4,-8,14,0,15,7,14,7,3,-64,0,-8,9,7,9,-64,-64,,,,,,"
960,疋,758B,54,10,"54,-64,0,-5,-12,-4,-6,-64,0,5,-14,5,-7,-64,0,0,-13,0,-4,-4,0,-64,0,1,-5,6,1,-64,0,-6,3,-8,10,-64,0,6,3,11,7,-64,0,0,-1,0,7,-6,14,-64,0,1,6,9,13,-64,-64,,,,,,"
961,亞,4E9E,68,10,"68,-64,0,-2,-18,-3,-11,2,-9,4,-17,-64,0,-2,-16,3,-15,-64,0,-10,-7,-8,1,-4,-2,-6,-9,-64,0,-10,-4,-6,-6,-64,0,6,-8,4,-3,9,1,11,-5,-64,0,6,-6,10,-3,-64,0,0,-10,0,8,-64,0,-6,-1,-5,6,3,8,5,5,6,-2,-64,-64,,,,,,"
962,娅,,88,13,"88,-64,0,-2,-16,-2,-11,5,-9,5,-7,-64,0,-2,-15,4,-12,4,-15,-64,0,1,-14,1,-10,1,-2,4,-1,4,4,-64,0,1,-7,4,-6,-64,0,-1,-9,-1,0,1,2,1,6,-64,0,-2,3,1,4,-64,0,-3,3,-3,5,4,8,4,11,-64,0,4,8,-3,11,-64,0,-3,9,-3,12,-64,0,0,7,0,10,-64,0,1,9,4,11,-64,-64,,,,,,"
963,延chan,,62,9,"62,-64,0,-5,-14,-4,-7,-8,-2,-64,0,-9,6,-4,-2,-4,9,-64,0,-1,-13,-2,-8,-2,1,-3,3,-64,0,1,-11,0,-7,0,2,-1,6,-64,0,3,-10,2,-7,3,4,-64,0,6,-13,5,-7,9,-1,-64,0,6,8,5,-1,10,4,-64,-64,,,,,,"
964,言,8A00,38,7,"38,-64,0,-3,-8,-1,-3,-2,12,-64,0,0,-3,4,-9,9,-3,-64,0,0,0,8,0,-64,0,4,-9,4,3,0,9,-64,0,4,3,9,10,-64,-64,,,,,,"
965,炎,708E,42,7,"42,-64,0,-3,-9,1,-4,1,-4,-64,0,1,-10,1,-4,-64,0,1,-4,4,5,5,15,-64,0,2,-1,-2,5,-64,0,0,-5,-6,-1,-8,3,-8,6,-12,10,-64,-64,,,,,,"
966,嵒,5D52,50,7,"50,-64,0,-2,-10,1,5,-4,9,-3,12,2,9,0,17,-64,0,-5,-2,2,-7,3,-3,-5,4,-64,0,-5,-3,-4,3,-64,0,5,1,5,-5,11,-5,11,1,5,1,-64,0,5,-2,9,-2,-64,-64,,,,,,"
967,虤,.866,76,11,"76,-64,0,-4,-11,-4,-5,-2,-3,4,-4,5,-12,-64,0,0,-13,0,-8,-2,-5,-64,0,0,-9,2,-7,-64,0,-9,4,-8,10,-2,11,0,4,-64,0,-4,2,-7,9,-64,0,-5,6,-2,9,-64,0,1,7,2,11,6,13,9,12,10,5,-64,0,6,3,6,8,3,11,-64,0,6,8,7,10,-64,-64,,,,,,"
968,衍,884D,80,11,"80,-64,0,-2,-10,-3,-9,-2,-7,-1,-6,1,-7,2,-8,0,-10,-1,-10,-2,-10,-2,-10,-64,0,-4,-12,-2,-10,-64,0,-3,-13,0,-10,-64,0,0,-7,-1,3,-5,11,-64,0,-1,1,1,5,2,12,-64,0,0,-5,-6,0,-9,7,-64,0,-5,-1,-5,4,-64,0,1,-5,8,-1,8,7,-64,0,5,-3,3,1,-64,-64,,,,,,"
969,演,6F14,76,12,"76,-64,0,-6,-16,-5,-8,-2,-4,4,-4,6,-8,6,-16,-64,0,-6,-16,-1,-11,-64,0,2,-11,6,-16,-64,0,-6,-11,6,-11,-64,0,-2,-4,-9,1,-9,13,-64,0,4,-4,9,-1,9,11,-64,0,-3,1,0,7,3,0,-64,0,0,7,0,16,-64,0,-9,5,-3,1,-64,0,3,0,9,7,-64,-64,,,,,,"
970,妟,599F,52,9,"52,-64,0,3,-10,3,3,3,3,-64,0,3,2,0,6,-2,11,-64,0,3,2,6,11,-64,0,-5,-15,-5,-6,11,-6,11,-16,-64,0,-1,-10,7,-10,-64,0,3,-4,-4,2,-64,0,3,-4,10,1,-64,-64,,,,,,"
971,焱,7131,36,7,"36,-64,0,-3,-11,0,-4,3,-11,-64,0,-3,-11,-7,-2,-64,0,4,-12,8,-3,-64,0,0,-3,0,11,-64,0,-4,-1,1,5,5,-1,-64,-64,,,,,,"
972,燕,71D5,48,9,"48,-64,0,-7,-1,9,-1,-64,0,-3,-11,-3,-5,-64,0,-3,-12,6,-12,-64,0,7,-11,6,-5,-64,0,-2,-5,5,-5,-64,0,0,-9,3,-9,-64,0,0,-1,0,8,3,13,3,13,-64,-64,,,,,,"
973,鬳,9B33,82,13,"82,-64,0,-6,-8,-6,13,-64,0,-6,-8,0,-8,0,-8,-64,0,-6,-1,0,-2,-64,0,-6,5,-1,5,-64,0,-1,-7,-3,-4,-6,-3,-64,0,-1,-2,-3,2,-6,4,-64,0,-2,5,-6,11,-64,0,3,-8,1,-4,6,-2,7,-6,3,-8,3,-8,-64,0,3,-5,5,-5,-64,0,0,0,9,-1,-64,0,4,-1,4,13,-64,-64,,,,,,"
974,央,592E,50,8,"50,-64,0,3,-20,-2,-9,-2,-4,4,4,-64,0,-1,-12,-5,-7,-5,-5,-3,-4,-64,0,4,-15,11,-11,11,-11,-64,0,8,-13,3,-1,-64,0,6,-4,11,4,-64,0,9,-6,8,-3,5,1,-64,-64,,,,,,"
975,羊,7F8A,72,13,"72,-64,0,-1,-16,1,-11,-64,0,-1,-16,-3,-12,-64,0,3,-16,1,-11,-64,0,3,-16,5,-12,-64,0,1,-11,0,-5,-64,0,-1,-11,0,-8,-64,0,3,-11,1,-8,-64,0,3,-8,10,-3,-64,0,6,-6,1,3,-64,0,3,-1,5,4,-1,7,-64,0,2,2,4,6,4,12,-64,-64,,,,,,"
976,昜,661C,26,5,"26,-64,0,-7,-11,-6,-5,7,-3,8,4,-64,0,0,-12,0,2,-7,12,-64,0,0,3,7,12,-64,-64,,,,,,"
977,陽,967D,26,6,"26,-64,0,4,-11,-5,-2,-64,0,-3,-12,6,-1,-64,0,3,1,-7,12,-64,0,-4,1,5,14,-64,-64,,,,,,"
978,敭yang,,68,12,"68,-64,0,-6,-8,-5,-2,-64,0,-6,-8,-2,-9,-64,0,-2,-9,-3,-2,-64,0,2,-10,0,-3,-64,0,2,-10,5,-9,-64,0,5,-9,3,-3,-64,0,-9,-2,7,-3,-64,0,0,-2,4,8,-64,0,4,8,-3,11,-3,14,4,12,1,18,-64,0,0,-2,-2,10,-64,-64,,,,,,"
979,養,,44,7,"44,-64,0,-1,-14,-1,2,-64,0,-4,-12,-1,-4,3,-12,-64,0,-6,1,-1,-4,4,0,-64,0,0,4,0,10,7,10,8,7,7,5,0,4,-64,0,2,6,5,6,-64,-64,,,,,,"
980,夭,592D,116,16,"116,-64,0,-1,-14,-4,-12,-4,-9,-1,-8,2,-10,2,-13,-1,-14,-64,0,-1,-12,-2,-12,-2,-11,-1,-11,0,-12,-1,-12,-64,0,-5,0,3,-5,-64,0,-1,-5,3,5,-2,9,-3,15,-64,0,-4,4,5,-2,-64,0,-3,0,-1,4,-64,0,3,-5,5,-1,-64,0,-9,-8,-6,-5,-7,4,-6,10,-64,0,-7,1,-5,2,-64,0,-7,4,-5,5,-64,0,-7,6,-5,7,-64,0,7,-12,5,-7,8,-2,6,3,-64,0,5,-7,4,-5,-64,0,7,-4,5,-3,-64,-64,,,,,,"
981,爻,723B,74,14,"74,-64,0,-4,-10,-4,14,-64,0,-8,-6,-5,0,-64,0,0,-8,-4,-3,-64,0,-4,6,-8,11,-64,0,-4,6,0,10,-64,0,0,-9,4,-4,-64,0,4,-11,5,14,-64,0,5,5,0,9,-64,0,9,-7,5,-2,-64,0,5,5,9,10,-64,0,0,-5,0,3,-64,0,-2,3,2,3,-64,-64,,,,,,"
982,堯,582F,70,9,"70,-64,0,1,-11,-1,-13,2,-16,4,-14,4,-12,1,-11,2,-11,-64,0,2,-11,2,11,-64,0,-3,-10,-5,-6,-5,-3,-2,-4,-3,-10,-64,0,9,-12,5,-8,6,-5,9,-7,8,-11,-64,0,-2,-6,2,0,6,-5,-64,0,-3,9,2,0,2,0,-64,0,2,4,6,10,-64,-64,,,,,,"
983,杳,6773,72,9,"72,-64,0,-2,-6,9,-6,11,-11,5,-9,6,-13,0,-13,-3,-10,-2,-6,-64,0,0,-15,2,-13,-64,0,3,-15,3,-14,-64,0,6,-16,4,-13,-64,0,1,-7,1,-10,4,-10,4,-7,-64,0,5,-5,6,4,-2,6,-1,12,6,7,8,10,6,14,-64,0,4,-5,1,0,0,5,-64,-64,,,,,,"
984,要,8981,8,3,"8,-64,0,-10,0,12,0,-64,-64,,,,,,"
985,野,91CE,42,7,"42,-64,0,-2,-15,-8,0,-64,0,-4,-10,-1,-2,-3,3,-1,13,-64,0,1,-15,2,4,-64,0,1,-14,6,-11,2,-1,-64,0,2,-9,9,-6,6,0,7,8,-64,-64,,,,,,"
986,枼xe,,32,5,"32,-64,0,-6,-3,2,-12,11,-5,-64,0,-7,6,0,-2,-1,7,6,12,6,8,-64,0,0,7,5,4,4,-4,13,2,-64,-64,,,,,,"
987,頁,9801,46,8,"46,-64,0,1,-8,-3,-2,-64,0,1,-8,6,-2,-64,0,1,-8,1,-1,-64,0,1,-1,-1,4,5,10,-64,0,2,-1,3,4,-3,9,-64,0,-1,-9,-5,-2,-5,8,0,13,-64,-64,,,,,,"
988,一,4E00,50,7,"50,-64,0,-8,-9,0,-17,7,-10,-64,0,-9,-1,-4,-7,-4,-1,-1,6,1,11,-64,0,-1,6,6,1,5,-2,3,-8,10,-6,-64,0,-1,-12,2,-8,0,-4,1,1,-64,0,-3,-8,1,-8,-64,-64,,,,,,"
989,伊,4F0A,20,4,"20,-64,0,2,-16,2,-7,-2,-2,-1,5,-7,15,-64,0,-5,-6,2,-13,-64,-64,,,,,,"
990,衣,8863,84,14,"84,-64,0,-5,-5,0,-12,0,-12,-64,0,-5,-5,-4,1,-6,11,-64,0,-1,-12,5,-8,-64,0,5,-8,4,1,7,11,-64,0,-9,12,9,11,-64,0,0,-8,-2,-4,-64,0,0,-8,2,-4,-1,-1,-64,0,-1,-6,1,-3,-64,0,-4,1,4,1,-64,0,1,3,-3,8,-64,0,1,3,3,6,-1,11,-64,0,-2,6,1,8,-64,-64,,,,,,"
991,医,533B,80,12,"80,-64,0,-6,-9,-4,-7,8,-3,9,-3,-64,0,-1,-9,2,-5,-1,0,0,13,-64,0,-6,-2,7,0,-64,0,0,-2,-5,-5,-6,-2,-64,0,2,-1,5,3,7,0,-64,0,-7,-1,-7,1,-2,4,-64,0,-3,0,-5,2,-7,13,-64,0,5,5,4,12,1,15,-64,0,2,8,7,17,-64,0,-1,3,3,5,-64,-64,,,,,,"
992,依,4F9D,14,3,"14,-64,0,6,-11,-1,-2,-1,3,1,9,-5,17,-64,-64,,,,,,"
993,夷,5937,76,12,"76,-64,0,-3,-8,-2,6,-64,0,-2,6,-5,8,-5,13,-64,0,-2,5,1,8,1,14,-64,0,-7,-10,1,-8,1,-6,-7,-6,-64,0,1,-6,-8,-1,-10,4,-64,0,-6,-2,-6,2,-64,0,-7,2,-8,11,-64,0,-2,-4,2,0,-64,0,3,13,4,-1,8,3,-64,0,4,-12,4,-5,8,-2,-64,-64,,,,,,"
994,宜,5B9C,54,7,"54,-64,0,-4,-16,-5,-9,-9,-2,-7,1,-5,-2,-64,0,-4,-9,-1,-5,-2,0,-4,1,-4,-1,-64,0,-10,-12,-7,-5,-2,-5,-1,-12,-64,0,5,-8,2,-3,4,3,3,8,-1,13,-64,0,3,1,-1,7,-64,-64,,,,,,"
995,疑yi,,70,10,"70,-64,0,1,-6,6,6,1,10,3,13,8,9,6,17,-64,0,-10,1,-5,-5,-1,-3,-64,0,-1,-1,5,-5,5,-5,-64,0,5,-5,6,-2,0,4,-64,0,-1,-2,1,5,-64,0,-3,0,0,2,-64,0,-2,1,-3,5,-5,9,-64,0,-10,3,-6,2,-6,8,-4,14,-64,-64,,,,,,"
996,彝,5F5D,18,3,"18,-64,0,-7,-13,-1,-2,-5,4,-2,9,4,13,7,7,4,4,-64,-64,,,,,,"
997,乙,4E59,54,9,"54,-64,0,-4,-11,-4,11,-9,17,-64,0,1,-14,-8,-9,-8,-4,0,-7,-64,0,-4,2,-10,8,-64,0,0,-1,1,3,-64,0,-7,9,-2,14,-64,0,2,-12,7,0,-1,9,-64,0,1,-4,6,6,5,18,-64,-64,,,,,,"
998,已yi,,14,4,"14,-64,0,3,-8,-6,14,-64,0,-5,-8,6,16,-64,-64,,,,,,"
999,乂,4E42,18,4,"18,-64,0,4,-8,0,-11,-3,-8,-2,12,-64,0,-8,13,3,12,-64,-64,,,,,,"
1000,弋,5F0B,44,8,"44,-64,0,1,-16,0,1,-4,5,-5,11,-64,0,-8,-7,0,-14,-64,0,1,-14,8,-5,-64,0,-5,-7,-7,2,-64,0,3,-3,10,2,-64,0,1,2,4,6,5,14,-64,-64,,,,,,"
1001,亦,4EA6,66,8,"66,-64,0,-3,-15,-3,3,-8,7,-8,12,-2,7,-2,14,-3,16,-64,0,-3,-9,-6,-4,-7,2,-7,6,-64,0,3,-17,1,-12,3,-7,5,-11,3,-17,-64,0,3,-7,3,1,-1,9,-64,0,6,-3,6,4,4,8,0,13,-64,0,3,1,6,7,7,15,-64,-64,,,,,,"
1002,伇,4F07,48,8,"48,-64,0,-4,-12,-4,-6,-64,0,-4,-12,3,-12,-64,0,3,-12,3,-6,-64,0,-4,-6,3,-6,-64,0,-1,-4,2,3,-5,8,-4,12,2,8,3,14,-64,0,0,-2,-2,3,-2,6,-64,-64,,,,,,"
